school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12,that_col
5210,2024-2025,Henry A. Brown School,Henry A. Brown School,1959,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5230,2024-2025,Russell H. Conwell School,Russell H. Conwell School,1926,0,1,0,0,Criteria-Based,District,0,0,0,0,0,1,1,1,1,0,0,0,0,
5250,2024-2025,Paul L. Dunbar School,Paul L. Dunbar School,1932,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5260,2024-2025,Lewis Elkin School,Lewis Elkin School,1973,1,0,0,0,Catchment,District,1,1,1,1,1,0,0,0,0,0,0,0,0,
5300,2024-2025,Horatio B. Hackett School,Horatio B. Hackett School,1969,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
5320,2024-2025,John F. Hartranft School,John F. Hartranft School,1968,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5330,2024-2025,William H. Hunter School,William H. Hunter School,1909,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5340,2024-2025,James R. Ludlow School,James R. Ludlow School,1927,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5350,2024-2025,William McKinley School,William McKinley School,1970,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5370,2024-2025,John Moffet School,John Moffet School,1973,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
5390,2024-2025,Potter-Thomas School,Potter-Thomas School,1967,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5400,2024-2025,Richmond School,Richmond School,1929,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
5410,2024-2025,Isaac A. Sheppard School,Isaac A. Sheppard School,1898,1,0,0,0,Catchment,District,1,1,1,1,1,0,0,0,0,0,0,0,0,
5420,2024-2025,John Welsh School,John Welsh School,1966,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5430,2024-2025,Alternative Middle Years at James Martin,Alternative Middle Years at James Martin,1985,0,1,0,0,Citywide,District,0,0,0,0,0,0,1,1,1,0,0,0,0,
5440,2024-2025,Frances E. Willard School,Frances E. Willard School,1907,1,0,0,0,Catchment,District,1,1,1,1,1,0,0,0,0,0,0,0,0,
5470,2024-2025,William Cramp School,William Cramp School,1969,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
5480,2024-2025,General Philip Kearny School,General Philip Kearny School,1898,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5490,2024-2025,Cayuga School,Cayuga School,1950,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
5500,2024-2025,Thurgood Marshall School,Thurgood Marshall School,1997,1,1,0,0,Catchment,District,1,1,1,1,1,1,1,1,1,0,0,0,0,
5520,2024-2025,Kensington High School for Creative and Performing Arts,Kensington High School for Creative and Performing Arts,2005,0,0,1,0,Catchment,District,0,0,0,0,0,0,0,0,0,1,1,1,1,
5530,2024-2025,Gloria Casarez School,Gloria Casarez School,1899,1,0,0,0,Catchment,District,1,1,1,1,1,1,0,0,0,0,0,0,0,
