school_id,school_year,standardized_school_name,original_school_name,year_school_opened,is_elementary_school,is_middle_school,is_high_school,is_other_school,admission_type,governance,serves_grade_k,this_col,serves_grade_1,serves_grade_2,serves_grade_3,serves_grade_4,serves_grade_5,serves_grade_6,serves_grade_7,serves_grade_8,serves_grade_9,serves_grade_10,serves_grade_11,serves_grade_12
6340,2022-2023,Joseph Pennell School,Joseph Pennell School,1927,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
6350,2022-2023,Samuel Pennypacker School,Samuel Pennypacker School,1930,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6360,2022-2023,Theodore Roosevelt School,Theodore Roosevelt School,2013,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6380,2022-2023,Shawmont School,Shawmont School,1928,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6390,2022-2023,Edward T. Steel School,Edward T. Steel School,1973,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6400,2022-2023,Widener Memorial School,Widener Memorial School,1953,1,1,1,0,Citywide,District,1,,1,1,1,1,1,1,1,1,1,1,1,1
6410,2022-2023,Cook-Wissahickon School,Cook-Wissahickon School,1969,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6440,2022-2023,Anna L. Lingelbach School,Anna L. Lingelbach School,1955,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6450,2022-2023,James Dobson School,James Dobson School,1930,1,1,0,0,Neighborhood,District,1,,1,1,1,1,1,1,1,1,0,0,0,0
6460,2022-2023,Hill-Freedman World Academy,Hill-Freedman World Academy,1980,0,1,1,0,Special Admit,District,0,,0,0,0,0,0,1,1,1,1,1,1,1
6470,2022-2023,John B. Kelly School,John B. Kelly School,1970,1,0,0,0,Neighborhood,District,1,,1,1,1,1,1,0,0,0,0,0,0,0
6480,2022-2023,Academy for the Middle Years at Northwest,Academy for the Middle Years at Northwest,2012,0,1,0,0,Special Admit,District,0,,0,0,0,0,0,1,1,1,0,0,0,0
6540,2022-2023,Lankenau High School,Lankenau High School,1987,0,0,1,0,Special Admit,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
7010,2022-2023,Frankford High School,Frankford High School,1914,0,0,1,0,Neighborhood,District,0,,0,0,0,0,0,0,0,0,1,1,1,1
